borough,year,median_household_income,median_gross_rent,unemployment_rate,licensed_businesses,building_permits,rent_to_monthly_income_pct,income_yoy_pct,rent_yoy_pct,affordability_gap_pp
Bronx,2015,39000,1450,7.2,5200,900,44.6,,,
Bronx,2016,39975,1501,7.1,5294,940,45.1,2.5,3.52,1.02
Bronx,2017,40974,1553,7.0,5389,980,45.5,2.5,3.46,0.96
Bronx,2018,41999,1608,6.8,5486,1020,45.9,2.5,3.54,1.04
Bronx,2019,43049,1664,6.7,5585,1060,46.4,2.5,3.48,0.98
Bronx,2020,44125,1722,9.1,5344,1100,46.8,2.5,3.49,0.99
Bronx,2021,45228,1782,7.6,5787,1140,47.3,2.5,3.48,0.98
Bronx,2022,46359,1845,6.4,5892,1180,47.8,2.5,3.54,1.04
Bronx,2023,47518,1909,6.2,5998,1220,48.2,2.5,3.47,0.97
Bronx,2024,48706,1976,6.1,6106,1260,48.7,2.5,3.51,1.01
Brooklyn,2015,52000,1650,5.8,12000,1020,38.1,,,
Brooklyn,2016,53300,1708,5.7,12216,1060,38.5,2.5,3.52,1.02
Brooklyn,2017,54632,1768,5.6,12436,1100,38.8,2.5,3.51,1.01
Brooklyn,2018,55998,1829,5.4,12660,1140,39.2,2.5,3.45,0.95
Brooklyn,2019,57398,1893,5.3,12888,1180,39.6,2.5,3.5,1.0
Brooklyn,2020,58833,1960,7.7,12332,1220,40.0,2.5,3.54,1.04
Brooklyn,2021,60304,2028,6.2,13356,1260,40.4,2.5,3.47,0.97
Brooklyn,2022,61812,2099,5.0,13596,1300,40.7,2.5,3.5,1.0
Brooklyn,2023,63357,2173,4.8,13841,1340,41.2,2.5,3.53,1.03
Brooklyn,2024,64941,2249,4.7,14090,1380,41.6,2.5,3.5,1.0
Manhattan,2015,78000,2100,5.2,18000,900,32.3,,,
Manhattan,2016,79950,2174,5.1,18324,940,32.6,2.5,3.52,1.02
Manhattan,2017,81949,2250,5.0,18654,980,32.9,2.5,3.5,1.0
Manhattan,2018,83997,2328,4.8,18990,1020,33.3,2.5,3.47,0.97
Manhattan,2019,86097,2410,4.7,19331,1060,33.6,2.5,3.52,1.02
Manhattan,2020,88250,2494,7.1,18499,1100,33.9,2.5,3.49,0.99
Manhattan,2021,90456,2581,5.6,20034,1140,34.2,2.5,3.49,0.99
Manhattan,2022,92717,2672,4.4,20394,1180,34.6,2.5,3.53,1.03
Manhattan,2023,95035,2765,4.2,20761,1220,34.9,2.5,3.48,0.98
Manhattan,2024,97411,2862,4.1,21135,1260,35.3,2.5,3.51,1.01
Queens,2015,56000,1700,5.5,10500,1020,36.4,,,
Queens,2016,57400,1759,5.4,10689,1060,36.8,2.5,3.47,0.97
Queens,2017,58835,1821,5.3,10881,1100,37.1,2.5,3.52,1.02
Queens,2018,60306,1885,5.1,11077,1140,37.5,2.5,3.51,1.01
Queens,2019,61814,1951,5.0,11277,1180,37.9,2.5,3.5,1.0
Queens,2020,63359,2019,7.4,10791,1220,38.2,2.5,3.49,0.99
Queens,2021,64943,2090,5.9,11686,1260,38.6,2.5,3.52,1.02
Queens,2022,66566,2163,4.7,11897,1300,39.0,2.5,3.49,0.99
Queens,2023,68231,2239,4.5,12111,1340,39.4,2.5,3.51,1.01
Queens,2024,69936,2317,4.4,12329,1380,39.8,2.5,3.48,0.98
Staten Island,2015,68000,1500,4.9,3200,900,26.5,,,
Staten Island,2016,69700,1552,4.8,3258,940,26.7,2.5,3.47,0.97
Staten Island,2017,71442,1607,4.7,3316,980,27.0,2.5,3.54,1.04
Staten Island,2018,73229,1663,4.5,3376,1020,27.3,2.5,3.48,0.98
Staten Island,2019,75059,1721,4.4,3437,1060,27.5,2.5,3.49,0.99
Staten Island,2020,76936,1782,6.8,3289,1100,27.8,2.5,3.54,1.04
Staten Island,2021,78859,1844,5.3,3562,1140,28.1,2.5,3.48,0.98
Staten Island,2022,80831,1908,4.1,3626,1180,28.3,2.5,3.47,0.97
Staten Island,2023,82851,1975,3.9,3691,1220,28.6,2.5,3.51,1.01
Staten Island,2024,84923,2044,3.8,3757,1260,28.9,2.5,3.49,0.99
